"s","a","y"
"사랑을 했다 (LOVE SCENARIO)","iKON","2018년 베스트 가요 콜렉션"
"그날처럼","장덕철","2018년 베스트 가요 콜렉션"
"선물","멜로망스(MeloMance)","2018년 베스트 가요 콜렉션"
"모든 날, 모든 순간 (Every day, Every Moment)","폴킴(Paul Kim) CONNECT 아티스트","2018년 베스트 가요 콜렉션"
"뚜두뚜두 (DDU-DU DDU-DU)","BLACKPINK","2018년 베스트 가요 콜렉션"
"뿜뿜","모모랜드(MOMOLAND)","2018년 베스트 가요 콜렉션"
"You","멜로망스(MeloMance)","2018년 베스트 가요 콜렉션"
"그때 헤어지면 돼","로이킴","2018년 베스트 가요 콜렉션"
"Roller Coaster","청하","2018년 베스트 가요 콜렉션"
"instagram","DEAN(딘)","2018년 베스트 가요 콜렉션"
"지나오다","닐로(Nilo)","2018년 베스트 가요 콜렉션"
"Way Back Home","숀(SHAUN)","2018년 베스트 가요 콜렉션"
"여행","볼빨간사춘기","2018년 베스트 가요 콜렉션"
"미안해","양다일","2018년 베스트 가요 콜렉션"
"Bad Boy","Red Velvet (레드벨벳)","2018년 베스트 가요 콜렉션"
"주지마","로꼬 , 화사(Hwa Sa)","2018년 베스트 가요 콜렉션"
"별이 빛나는 밤","마마무(Mamamoo)","2018년 베스트 가요 콜렉션"
"밤편지","아이유(IU)","2018년 베스트 가요 콜렉션"
"Heart Shaker","TWICE (트와이스)","2018년 베스트 가요 콜렉션"
"꽃 길","BIGBANG","2018년 베스트 가요 콜렉션"
"What is Love?","TWICE (트와이스)","2018년 베스트 가요 콜렉션"
"Dance The Night Away","TWICE (트와이스)","2018년 베스트 가요 콜렉션"
"밤 (Time for the moon night)","여자친구(GFRIEND)","2018년 베스트 가요 콜렉션"
"비","폴킴(Paul Kim) CONNECT 아티스트","2018년 베스트 가요 콜렉션"
"기억의 빈자리","나얼(Na-Ul)","2018년 베스트 가요 콜렉션"
"Forever Young","BLACKPINK","2018년 베스트 가요 콜렉션"
"눈사람","정승환","2018년 베스트 가요 콜렉션"
"소나기 (Feat. 10cm)","용준형","2018년 베스트 가요 콜렉션"
"DNA","방탄소년단","2018년 베스트 가요 콜렉션"
"밤이 되니까","펀치 (Punch)","2018년 베스트 가요 콜렉션"
"좋니","윤종신","2018년 베스트 가요 콜렉션"
"My Way","이수","2018년 베스트 가요 콜렉션"
"LATATA","(여자)아이들","2018년 베스트 가요 콜렉션"
"피카부 (Peek-A-Boo)","Red Velvet (레드벨벳)","2018년 베스트 가요 콜렉션"
"가을 안부","먼데이 키즈(Monday Kiz)","2018년 베스트 가요 콜렉션"
"이 별","길구봉구","2018년 베스트 가요 콜렉션"
"all of my life","박원","2018년 베스트 가요 콜렉션"
"FAKE LOVE","방탄소년단","2018년 베스트 가요 콜렉션"
"붕붕 (Feat. 식케이) (Prod. GroovyRoom)","김하온(HAON)","2018년 베스트 가요 콜렉션"
