"","곡명","아티스트","장르","연도"
"1","아씨","이미자","가요 / 트로트",1970
"2","월남에서 돌아온 김상사","김추자","가요 / 트로트",1970
"3","늦기전에","김추자","가요 / 트로트",1970
"4","그정 못잊어","나훈아","가요 / 트로트",1970
"5","바보같은 사나이","나훈아","가요 / 트로트",1970
"6","좋았다싫어지면","나훈아","가요 / 트로트",1970
"7","사랑이란 두 글자","패티김","가요 / 트로트",1970
"8","사랑하는 당신이","패티김","가요 / 트로트",1970
"9","람디담디담","패티김","가요 / 트로트",1970
"10","그사람 바보야","정훈희","가요 / 트로트",1970
"11","범띠 아가씨 - 양미란","Various Artists","가요 / 트로트",1970
"12","서산 갯마을","조미미","가요 / 트로트",1970
"13","축제의 노래","트윈 폴리오 (Twin Folio)","가요 / 블루스/포크",1970
"14","일자상서","김부자","가요 / 트로트",1970
"15","당신은 철새","김부자","가요 / 트로트",1970
"16","이정표 없는 거리","김상진","가요 / 트로트",1970
"17","슬퍼도 떠나주마","펄 시스터즈 (Pearl Sisters)","가요 / 트로트",1970
"18","가는 정 오는 정","남정희","가요 / 트로트",1970
"19","딜라일라","조영남","가요 / 트로트",1970
"20","박달재 사연","박재란","가요 / 트로트",1970
"21","누가 울어","박일남","가요 / 트로트",1970
"22","안개속으로 가버린 사람","박일남","가요 / 트로트",1970
"23","압록강 이천리","이주은","가요 / 트로트",1970
"24","아름다운 사람","서유석","가요 / 블루스/포크",1971
"25","비야 비야","서유석","가요 / 블루스/포크",1971
"26","창밖에는 비 오고요","송창식","가요 / 블루스/포크",1971
"27","물새 한 마리","하춘화","가요 / 트로트",1971
"28","잘했군 잘했어","하춘화","가요 / 트로트",1971
"29","울고 싶어","배호","가요 / 트로트",1971
"30","가지마오","나훈아","가요 / 트로트",1971
"31","머나먼 고향","나훈아","가요 / 트로트",1971
"32","찻집의 고독","나훈아","가요 / 트로트",1971
"33","고향 아줌마","김상진","가요 / 트로트",1971
"34","고향의 강","남상규","가요 / 트로트",1971
"35","그 사람이름은 잊었지만","박건","가요 / 트로트",1971
"36","꽃동네 새동네","정훈희","가요 / 트로트",1971
"37","꽃반지 끼고","은희","가요 / 트로트",1971
"38","님은 먼 곳에","김추자","가요 / 전체",1971
"39","먼데서 오신 손님","조미미","가요 / 트로트",1971
"40","바다가 육지라면","조미미","가요 / 트로트",1971
"41","세월이 약이겠지요","송대관","가요 / 트로트",1971
"42","참 사랑","김상희","가요 / 트로트",1971
"43","그럴수가 있나요","김추자","가요 / 트로트",1971
"44","마지막 잎새","배호","가요 / 트로트",1971
"45","영시의 이별","배호","가요 / 트로트",1971
"46","녹슬은 기찻길","나훈아","가요 / 트로트",1972
"47","해변의 여인","나훈아","가요 / 트로트",1972
"48","물레방아도는데","나훈아","가요 / 트로트",1972
"49","임과 함께","남진","가요 / 트로트",1972
"50","최진사댁 셋째딸","조영남","가요 / 트로트",1972
"51","내나라 내겨레","송창식","가요 / 블루스/포크",1972
"52","딩동댕 지난 여름","송창식","가요 / 블루스/포크",1972
"53","아침 이슬","김민기","가요 / 블루스/포크",1972
"54","세노야 세노야","양희은","가요 / 블루스/포크",1972
"55","목장길 따라","김세환","가요 / 블루스/포크",1972
"56","모닥불","박인희","가요 / 블루스/포크",1972
"57","여고시절","이수미","가요 / 트로트",1972
"58","두개의 작은 별","윤형주","가요 / 블루스/포크",1972
"59","달무리","영사운드","가요 / 트로트",1972
"60","등불","영사운드","가요 / 발라드",1972
"61","진정 난 몰랐네","임희숙","가요 / 트로트",1972
"62","희야","박일남","가요 / 트로트",1972
"63","새색시 시집가네","이연실","가요 / 블루스/포크",1972
"64","달타령","김부자","가요 / 트로트",1972
"65","단골손님","조미미","가요 / 트로트",1972
"66","꽃길","정훈희","가요 / 트로트",1972
"67","그애와 나랑은","이장희","가요 / 블루스/포크",1972
"68","그대 변치 않는다면","방주연","가요 / 트로트",1972
"69","그 얼굴에 햇살을","이용복","가요 / 블루스/포크",1972
"70","공항의 이별","문주란","가요 / 트로트",1972
"71","고향이 좋아","김상진","가요 / 트로트",1972
"72","고독","이필원","가요 / 블루스/포크",1972
"73","그리운 생각","정미조","가요 / 트로트",1972
"74","그건너","이장희","가요 / 블루스/포크",1973
"75","자정이 휠씬 넘었네","이장희","가요 / 블루스/포크",1973
"76","그럴수가 있나요","김추자","가요 / 트로트",1973
"77","왜 아니올까","김추자","가요 / 트로트",1973
"78","강원도 아리랑","하춘화","가요 / 트로트",1973
"79","그대여 변치마오","남진","가요 / 트로트",1973
"80","젊은 초원","남진","가요 / 트로트",1973
"81","아름다운 것들","양희은","가요 / 블루스/포크",1973
"82","행복의 나라로","양희은","가요 / 블루스/포크",1973
"83","기다리게 해놓고","방주연","가요 / 트로트",1973
"84","나는 너를","서유석","가요 / 블루스/포크",1973
"85","하늘","서유석","가요 / 블루스/포크",1973
"86","토요일 밤에","김세환","가요 / 블루스/포크",1973
"87","작은새","이수영 (어니언스)","가요 / 블루스/포크",1973
"88","잊으라면 잊겠어요","이용복","가요 / 블루스/포크",1973
"89","사랑의 모닥불","이용복","가요 / 블루스/포크",1973
"90","우리들의 이야기","윤형주","가요 / 블루스/포크",1973
"91","안녕하세요","장미화","가요 / 트로트",1973
"92","봄이 오면 (Hello-A)","장미화","가요 / 트로트",1973
"93","소낙비","이연실","가요 / 블루스/포크",1973
"94","석양","장현","가요 / 트로트",1973
"95","마른잎","장현","가요 / 트로트",1973
"96","서울의 모정","패티김","가요 / 트로트",1973
"97","서귀포를 아시나요","조미미","가요 / 트로트",1973
"98","사랑의 의지","이수미","가요 / 트로트",1973
"99","별이 빛나는 밤에","윤항기","가요 / 트로트",1973
"100","등대지기","은희","가요 / 트로트",1973
"101","돌아와","박우철","가요 / 트로트",1973
"102","달과 함께 별과 함께","김부자","가요 / 트로트",1973
"103","내강산좋을시구","김세레나","가요 / 국악",1973
"104","고별","홍민","가요 / 트로트",1973
"105","이름 모를 소녀","김정호","가요 / 트로트",1974
"106","가난한 마음","양희은","가요 / 블루스/포크",1974
"107","내 님의 사랑은","양희은","가요 / 블루스/포크",1974
"108","작은 배","양희은","가요 / 블루스/포크",1974
"109","나 그대에게 모두 드리리","이장희","가요 / 블루스/포크",1974
"110","한잔의 추억","이장희","가요 / 블루스/포크",1974
"111","꽃보다 귀한 여인","송창식","가요 / 블루스/포크",1974
"112","새는","송창식","가요 / 블루스/포크",1974
"113","철지난 바닷가","송창식","가요 / 블루스/포크",1974
"114","피리부는 사나이","송창식","가요 / 블루스/포크",1974
"115","당신의 모든 것을","원플러스원 (1＋1)","가요 / 블루스/포크",1974
"116","좋은걸 어떡해","김세환","가요 / 블루스/포크",1974
"117","비","김세환","가요 / 블루스/포크",1974
"118","그대 없이는 못살아","패티김","가요 / 트로트",1974
"119","이별","패티김","가요 / 트로트",1974
"120","하얀조가비","박인희","가요 / 트로트",1974
"121","편지","이수영 (어니언스)","가요 / 블루스/포크",1974
"122","참 예쁘네요","현경과 영애","가요 / 블루스/포크",1974
"123","그리워라","현경과 영애","가요 / 블루스/포크",1974
"124","내 노래에 날개가 있다면","윤지영","가요 / 블루스/포크",1974
"125","내곁에 있어주","이수미","가요 / 트로트",1974
"126","노래하는 곳에","윤항기","가요 / 트로트",1974
"127","눈이 내리네","이숙","가요 / 트로트",1974
"128","바람에 실려","하남석","가요 / 트로트",1974
"129","불꺼진 창","조영남","가요 / 트로트",1974
"130","서로 좋아해","남진","가요 / 트로트",1974
"131","인어 이야기","허림","CCM / 국내CCM",1974
"132","저 꽃 속에 찬란한 빛이","박경희","가요 / 트로트",1974
"133","조용한 여자","이연실","가요 / 블루스/포크",1974
"134","미인","신중현과 엽전들","가요 / 락",1975
"135","나그네","김정호","가요 / 트로트",1975
"136","하얀 나비 (Narr. 이윤선)","김정호","가요 / 블루스/포크",1975
"137","맨처음 고백","송창식","가요 / 블루스/포크",1975
"138","고래사냥","송창식","가요 / 블루스/포크",1975
"139","가을편지","최양숙","가요 / 트로트",1975
"140","휘파람을 부세요","정미조","가요 / 블루스/포크",1975
"141","모든 것 끝난 뒤","이수만","가요 / 블루스/포크",1975
"142","바보","윤형주","가요 / 블루스/포크",1975
"143","어제 내린 비","윤형주","가요 / 블루스/포크",1975
"144","해뜰날","송대관","가요 / 트로트",1975
"145","길가에 앉아서","김세환","가요 / 블루스/포크",1975
"146","나는 몰라요","옥희","가요 / 트로트",1975
"147","나에게 애인이 있다면","남진","가요 / 트로트",1975
"148","너","이종용","가요 / 블루스/포크",1975
"149","등불","4월과 5월","가요 / 트로트",1975
"150","마음은 서러워도","박일남","가요 / 트로트",1975
"151","비개인 오후","박인희 & 이연실","가요 / 트로트",1975
"152","빗속을 둘이서","양희은","가요 / 블루스/포크",1975
"153","얼굴","윤연선","가요 / 트로트",1975
"154","여고 졸업반","김인순","가요 / 트로트",1975
"155","영상","논두렁 밭두렁","가요 / 트로트",1975
"156","옥의 슬픔","한대수","가요 / 블루스/포크",1975
"157","이거야 정말","윤복희","가요 / 트로트",1975
"158","장미빛 스카프","윤항기","가요 / 트로트",1975
"159","조약돌","박상규","가요 / 트로트",1975
"160","휘파람을 부세요","정미조","가요 / 블루스/포크",1975
"161","당신은 모르실거야","혜은이","가요 / 트로트",1976
"162","그대 있음에","송창식","가요 / 블루스/포크",1976
"163","이상해","송창식","가요 / 블루스/포크",1976
"164","한사람","양희은","가요 / 블루스/포크",1976
"165","푸른 교실","김인순","가요 / 트로트",1976
"166","파도","이수만","가요 / 블루스/포크",1976
"167","일기","둘 다섯","가요 / 블루스/포크",1976
"168","애원","전영록","가요 / 트로트",1976
"169","아직도 그대는 내사랑","이은하","가요 / 트로트",1976
"170","섬소년","이정선","가요 / 트로트",1976
"171","새끼 손가락","정종숙","가요 / 트로트",1976
"172","빗물","채은옥","가요 / 트로트",1976
"173","비에 젖은 비둘기","이승연","가요 / 트로트",1976
"174","둘이서","박상규","가요 / 트로트",1976
"175","둘이 걸었네","정종숙","가요 / 블루스/포크",1976
"176","사랑은 영원히 (두 마음)","산이슬","가요 / 블루스/포크",1976
"177","눈이 큰 아이","버들피리","가요 / 트로트",1976
"178","끝이 없는 길","박인희","가요 / 블루스/포크",1976
"179","그리운 사람은","이필원","가요 / 전체",1976
"180","그 소녀","권태수","가요 / 블루스/포크",1976
"181","아쉬움","김미성","가요 / 트로트",1976
"182","삼다도소식","김세레나","가요 / 국악",1976
"183","잊지 않으리","하남석","가요 / 블루스/포크",1976
"184","그날이 오면","전영록","가요 / 발라드",1976
"185","밤배","둘 다섯","가요 / 블루스/포크",1976
"186","돌아와요 부산항에","조용필","가요 / 트로트",1977
"187","정","조용필","가요 / 트로트",1977
"188","한 송이 꿈","이수만","가요 / 블루스/포크",1977
"189","행복","이수만","가요 / 블루스/포크",1977
"190","내 고향 충청도","조영남","가요 / 블루스/포크",1977
"191","오동잎","최헌","가요 / 트로트",1977
"192","세월","최헌","가요 / 트로트",1977
"193","네꿈을 펼쳐라","양희은","가요 / 블루스/포크",1977
"194","들길 따라서","양희은","가요 / 블루스/포크",1977
"195","꽃순이를 아시나요","김국환","가요 / 트로트",1977
"196","섬마을 선생님","이미자","가요 / 트로트",1977
"197","푸른시절","김만수","가요 / 트로트",1977
"198","진짜 진짜 좋아해","혜은이","가요 / 트로트",1977
"199","뛰뛰빵빵","혜은이","가요 / 트로트",1977
"200","나비 소녀","김세화","가요 / 블루스/포크",1977
"201","내 노래에 날개가 있다면","김세화","가요 / 블루스/포크",1977
"202","이웃사촌","옥희","가요 / 트로트",1977
"203","두 손을 잡아요","옥희","가요 / 트로트",1977
"204","어디쯤 가고 있을까","전영","가요 / 트로트",1977
"205","소녀와 가로등","진미령","가요 / 트로트",1977
"206","방랑자","박인희","가요 / 트로트",1977
"207","눈으로","권태수","가요 / 블루스/포크",1977
"208","나의 사람아","김민식","가요 / 전체",1977
"209","나의 20년","장계현","가요 / 트로트",1977
"210","아니 벌써","산울림","가요 / 락",1978
"211","내 마음에 주단을 깔고","산울림","가요 / 락",1978
"212","문좀 열어줘","산울림","가요 / 락",1978
"213","빨간 풍선","산울림","가요 / 락",1978
"214","너무 합니다","김수희","가요 / 트로트",1978
"215","감수광","혜은이","가요 / 트로트",1978
"216","영원히 당신만을","혜은이","가요 / 트로트",1978
"217","작은 연인들(Feat. 유익종)","김세화","가요 / 트로트",1978
"218","눈물로 쓴 편지","김세화","가요 / 트로트",1978
"219","머무는곳 그어딜지 몰라도","박경희","CCM / 국내CCM",1978
"220","황소 걸음","서유석","가요 / 블루스/포크",1978
"221","환상","윤세원","가요 / 트로트",1978
"222","햇빛 쏟아지는 들판","장계현","가요 / 블루스/포크",1978
"223","춤을 추어요","장은숙","가요 / 트로트",1978
"224","전우가 남긴 한마디","허성희","가요 / 트로트",1978
"225","얼룩 고무신","둘 다섯","가요 / 블루스/포크",1978
"226","어찌합니까","최헌","가요 / 트로트",1978
"227","구름 나그네","최헌","가요 / 트로트",1978
"228","아쉬움","김미성","가요 / 트로트",1978
"229","먼훗날","김미성","가요 / 트로트",1978
"230","아기곰","권태수","가요 / 블루스/포크",1978
"231","순이생각","물레방아","가요 / 트로트",1978
"232","서울야곡","전영","가요 / 블루스/포크",1978
"233","사랑만은 않겠어요","윤수일","가요 / 트로트",1978
"234","갈대","윤수일","가요 / 트로트",1978
"235","봄비 (1970년작)","박인수","가요 / 전체",1978
"236","다락방","논두렁 밭두렁","가요 / 트로트",1978
"237","난 정말 몰랐었네","최병걸","가요 / 트로트",1978
"238","곡예사의 첫사랑","박경애","가요 / 트로트",1978
"239","고귀한 선물","장은아","가요 / 트로트",1978
"240","가시리","이명우","가요 / 블루스/포크",1978
"241","한동안 뜸 했었지","사랑과 평화","가요 / 락",1979
"242","이빠진 동그라미","활주로","가요 / 락",1979
"243","구름과 나","Various Artists","가요 / 블루스/포크",1979
"244","그대로 그렇게","휘버스","가요 / 전체",1979
"245","누구라도그러하듯이","배인숙","가요 / 트로트",1979
"246","여러분","윤항기, 윤복희","가요 / 트로트",1979
"247","제3한강교","혜은이","가요 / 트로트",1979
"248","영일만 친구","최백호","가요 / 트로트",1979
"249","가을비 우산속","최헌","가요 / 트로트",1979
"250","열애","윤시내","가요 / 트로트",1979
"251","돌고 돌아가는 길","노사연","가요 / 전체",1979
"252","기도","홍삼트리오","가요 / 전체",1979
"253","그대생각","이정희","가요 / 트로트",1979
"254","마음 약해서","들고양이들","가요 / 트로트",1979
"255","못잊어","패티김","가요 / 트로트",1979
"256","뭉게 구름","해바라기","가요 / 블루스/포크",1979
"257","미소","서유석","가요 / 블루스/포크",1979
"258","세상 모르고 살았노라","런웨이","가요 / 전체",1979
"259","詩人의 마을","정태춘","가요 / 블루스/포크",1979
"260","여름","Various Artists","가요 / 블루스/포크",1979
"261","연","라이너스 (Linus)","가요 / 전체",1979
"262","이 거리를 생각하세요","장은아","가요 / 트로트",1979
"263","장미","4월과 5월","가요 / 블루스/포크",1979
"264","하얀 면사포","이수영 (어니언스)","가요 / 블루스/포크",1979
"265","창밖의 여자","조용필","가요 / 발라드",1980
"266","단발머리","조용필","가요 / 전체",1980
"267","사랑은 아직도 끝나지 않았네","조용필","가요 / 트로트",1980
"268","풍문으로 들었소","함중아","가요 / 트로트",1980
"269","창문 너머 어렴풋이 옛 생각이 나겠지요","산울림","가요 / 락",1980
"270","고목","윤시내","가요 / 트로트",1980
"271","영원한 친구","나미","가요 / 트로트",1980
"272","미운정 고운정","나미","가요 / 트로트",1980
"273","기다리는 여심","계은숙","가요 / 트로트",1980
"274","당신은 누구시길래","심수봉","가요 / 트로트",1980
"275","사랑이야","양희은","가요 / 블루스/포크",1980
"276","찻잔","노고지리","가요 / 발라드",1980
"277","행복한 사람","조동진","가요 / 블루스/포크",1980
"278","외할머니 댁","논두렁 밭두렁","가요 / 블루스/포크",1980
"279","빙빙빙","하성관","가요 / 트로트",1980
"280","불놀이야","옥슨80","가요 / 트로트",1980
"281","바야야","이정희","가요 / 트로트",1980
"282","난 참 바보처럼 살았군요","김태화","가요 / 트로트",1980
"283","물레","유한그루","가요 / 블루스/포크",1980
"284","당신은 별을 보고 울어보셨나요","박인수","가요 / 트로트",1980
"285","내가","김학래","가요 / 트로트",1980
"286","나는 행복합니다","윤항기","가요 / 트로트",1980
"287","당신만이","벗님들","가요 / 블루스/포크",1980
"288","날개","옥슨80","가요 / 락",1980
"289","아무말 안해도","산울림","가요 / 락",1980
"290","나뭇잎 사이로","조동진","가요 / 블루스/포크",1980
"291","나에게도 사랑이","함중아와 양키스","가요 / 트로트",1980
"292","그 사람 바보","희자매","가요 / 전체",1980
"293","동반자","지다연","가요 / 트로트",1980
"294","또 만났네","벗님들","가요 / 블루스/포크",1980
"295","실비오는 소리에","이영화","가요 / 트로트",1980
"296","일곱색깔 무지개","작은거인","가요 / 전체",1980
"297","저 높은 곳을 향하여","이영화","가요 / 트로트",1980
"298","제7광구","정난이","가요 / 트로트",1980
"299","봄 여름 가을 겨울","김현식","가요 / 발라드",1981
"300","꿈을 꾼 후에","여진","가요 / 트로트",1981
"301","해야","마그마","가요 / 락",1981
"302","옛사랑의 돌담길","혜은이","가요 / 트로트",1981
"303","옛시인의 노래","한경애","가요 / 블루스/포크",1981
"304","어느 소녀의 사랑이야기","민해경","가요 / 트로트",1981
"305","목로주점","이연실","가요 / 블루스/포크",1981
"306","고추 잠자리","조용필","가요 / 트로트",1981
"307","미워 미워 미워","조용필","가요 / 발라드",1981
"308","물망초","조용필","가요 / 트로트",1981
"309","일편단심 민들레야","조용필","가요 / 트로트",1981
"310","청춘","산울림","가요 / 락",1981
"311","가지 마오","산울림","가요 / 락",1981
"312","가나다라","송창식","가요 / 블루스/포크",1981
"313","애원","전영록","가요 / 트로트",1981
"314","제2의 고향","윤수일","가요 / 트로트",1981
"315","아름다운 강산","신중현과 뮤직파워","가요 / 락",1981
"316","바람이려오","이용","가요 / 발라드",1981
"317","나에게도 사랑이","함중아와 양키스","가요 / 트로트",1981
"318","겨울아이","이종용","가요 / 블루스/포크",1981
"319","별, 달, 장미, 백합","김만수","가요 / 트로트",1981
"320","꿈 찾아가리","버들피리","가요 / 트로트",1981
"321","남편에게 바치는 노래","김윤희","가요 / 블루스/포크",1981
"322","높은 하늘아","수연","가요 / 트로트",1981
"323","별이여 사랑이여","사랑의 하모니","가요 / 트로트",1981
"324","보고픈걸 어떡해","계은숙","가요 / 트로트",1981
"325","사랑이여","유심초","가요 / 블루스/포크",1981
"326","성아의 이야기","백영규","가요 / 트로트",1981
"327","우리만나요 처음만난 그곳에서","백영규","가요 / 트로트",1981
"328","아직도 못다한사랑","솔개트리오","가요 / 블루스/포크",1981
"329","첫사랑의 생일 - 김민식","Various Artists","가요 / 블루스/포크",1981
"330","행복하세요","희자매","가요 / 전체",1981
"331","어쩌다 마주친 그대","송골매","가요 / 락",1982
"332","회상","산울림","가요 / 락",1982
"333","산할아버지","산울림","동요/태교 / 동요",1982
"334","독백","산울림","가요 / 락",1982
"335","내게 사랑은 너무 써","산울림","가요 / 락",1982
"336","그대 떠난 이 밤에","옥슨80","가요 / 트로트",1982
"337","꿈을 먹는 젊은이","남궁옥분","가요 / 트로트",1982
"338","사랑 사랑 누가 말했나","남궁옥분","가요 / 트로트",1982
"339","나뭇잎 사이로","조동진","가요 / 블루스/포크",1982
"340","DJ에게","윤시내","가요 / 댄스",1982
"341","헤이","이동원","가요 / 블루스/포크",1982
"342","타인의 계절","한경애","가요 / 트로트",1982
"343","종이학","전영록","가요 / 트로트",1982
"344","정거장","김수희","가요 / 트로트",1982
"345","남포동 부르스","김수희","가요 / 트로트",1982
"346","잡초","나훈아","가요 / 트로트",1982
"347","울긴 왜 울어","나훈아","가요 / 트로트",1982
"348","잊혀진 계절","이용","가요 / 트로트",1982
"349","연인들의 이야기","임수정","가요 / 트로트",1982
"350","연상의 여인","윤민호","가요 / 트로트",1982
"351","여인아","이태원","가요 / 블루스/포크",1982
"352","얼굴 빨개졌다네","이명훈","가요 / 블루스/포크",1982
"353","상아의 노래","송창식","가요 / 블루스/포크",1982
"354","야화","사랑의 하모니","가요 / 트로트",1982
"355","부산 갈매기","문성재","가요 / 트로트",1982
"356","백지로 보낸 편지","김태정","가요 / 트로트",1982
"357","노래하며 춤추며","계은숙","가요 / 트로트",1982
"358","나보다 더 나를 사랑하는 님이시여","김연숙","가요 / 트로트",1982
"359","나는홀로있어도","유심초","가요 / 블루스/포크",1982
"360","꽃바람","조용필","가요 / 트로트",1982
"361","못다핀 꽃 한송이","김수철","가요 / 락",1983
"362","가슴앓이","한마음","가요 / 발라드",1983
"363","가을을 남기고 간 사랑","패티김","가요 / 트로트",1983
"364","계절이 두번 바뀌면","방미","가요 / 트로트",1983
"365","공부합시다","윤시내","가요 / 전체",1983
"366","18세순이","나훈아","가요 / 트로트",1983
"367","결혼기념일의 노래","홍민","가요 / 트로트",1983
"368","기도하는 마음","김태정","가요 / 트로트",1983
"369","난 아니야","조용필","가요 / 전체",1983
"370","날개","허영란","가요 / 트로트",1983
"371","내마음 당신곁으로","김정수","가요 / 트로트",1983
"372","다시는 사랑을 안할테야","김수철","가요 / 락",1983
"373","멍에","김수희","가요 / 트로트",1983
"374","모두 다 사랑하리","송골매","가요 / 락",1983
"375","그대 떠난 빈 들에 서서","에밀레","가요 / 전체",1983
"376","나는 너 좋아","조용필","가요 / 락",1983
"377","그대는 나의 인생","최진희","가요 / 트로트",1983
"378","나의 사랑 그대곁으로","남궁옥분","가요 / 트로트",1983
"379","모두가 천사라면","전영","가요 / 트로트",1983
"380","내 인생은 나의 것","민해경","가요 / 전체",1983
"381","논개","이동기","가요 / 트로트",1983
"382","독백","혜은이","가요 / 트로트",1983
"383","멈추지말아요","The MD","가요 / 락",1983
"384","못잊겠어요","김수희","가요 / 트로트",1983
"385","밀양머슴아리랑","한규철","가요 / 트로트",1983
"386","바람에 구름 가듯","이은하","가요 / 트로트",1983
"387","바람이었나","정수라","가요 / 발라드",1983
"388","밤이면 밤마다","인순이","가요 / 발라드",1983
"389","변명","민해경","가요 / 발라드",1983
"390","비련","조용필","가요 / 전체",1983
"391","비와 찻잔사이","배따라기","가요 / 발라드",1983
"392","사랑","나훈아","가요 / 트로트",1983
"393","사랑과 행복,그리고 이별","이용","가요 / 전체",1983
"394","사랑은 나비인가봐","현철","가요 / 트로트",1983
"395","사랑은 받는것이 아니라면서","해오라기","가요 / 전체",1983
"396","사랑의 시","해바라기","가요 / 블루스/포크",1983
"397","올가을엔 사랑할거야","방미","가요 / 트로트",1983
"398","솔개","이태원","가요 / 블루스/포크",1983
"399","앉으나 서나 당신 생각","현철","가요 / 트로트",1983
"400","잃어버린 우산","우순실","가요 / 트로트",1983
